Model Year,Make,Model,Electric Range,Electric Vehicle Type
2022,34,84,0,0
2024,17,136,21,1
2022,38,140,18,1
2022,18,47,0,0
2013,27,79,75,0
2023,30,101,0,0
2016,11,54,19,1
2017,34,83,200,0
2019,6,19,238,0
2017,4,66,97,1
2013,27,79,75,0
2023,18,87,0,0
2017,34,83,200,0
2020,34,81,322,0
2019,7,92,32,1
2024,23,32,26,1
2015,27,79,84,0
2021,18,87,0,0
2019,34,81,220,0
2017,4,66,97,1
2018,34,81,215,0
2020,34,81,266,0
2020,34,84,291,0
2021,17,136,25,1
2019,27,79,150,0
2023,25,61,0,0
2020,34,84,291,0
2020,34,82,330,0
2019,34,81,220,0
2017,36,95,25,1
2017,6,19,238,0
2020,34,81,266,0
2019,6,19,238,0
2012,27,79,73,0
2019,34,81,220,0
2023,4,67,0,0
2022,18,120,32,1
2015,27,79,84,0
2018,34,81,215,0
2017,27,79,107,0
2018,34,82,249,0
2012,27,79,73,0
2012,34,82,265,0
2020,27,79,149,0
2021,18,87,26,1
2022,38,141,35,1
2020,6,19,259,0
2017,6,19,238,0
2022,21,27,28,1
2018,6,134,53,1
2018,34,81,215,0
2022,37,71,0,0
2011,27,79,73,0
2014,6,134,38,1
2017,1,8,16,1
2012,27,79,73,0
2022,37,71,0,0
2018,6,19,238,0
2022,36,107,42,1
2017,34,82,210,0
2019,4,70,17,1
2019,38,140,17,1
2021,34,81,0,0
2020,34,81,266,0
2017,18,122,93,0
2024,4,138,39,1
2015,27,79,84,0
2020,34,84,291,0
2020,34,81,266,0
2017,6,134,53,1
2018,27,79,151,0
2018,34,81,215,0
2018,4,66,97,1
2019,34,83,289,0
2017,34,82,210,0
2022,34,81,0,0
2018,34,81,215,0
2019,6,19,238,0
2018,34,83,238,0
2018,34,81,215,0
2015,27,79,84,0
2023,33,118,0,0
2018,6,19,238,0
2017,6,134,53,1
2019,1,35,204,0
2016,29,24,14,1
2023,34,84,0,0
2023,18,47,0,0
2013,27,79,75,0
2019,34,81,220,0
2019,18,87,239,0
2016,27,79,84,0
2023,34,81,0,0
2017,11,54,21,1
2018,38,115,21,1
2024,17,136,21,1
2016,34,82,210,0
2023,34,84,0,0
2019,34,81,220,0
2023,34,81,0,0
2018,34,83,238,0
2020,4,66,126,1
2020,34,81,266,0
2021,34,84,0,0
2015,34,82,208,0
2016,9,1,84,0
2018,34,82,249,0
2017,6,19,238,0
2016,34,83,200,0
2023,11,49,0,0
2015,34,82,208,0
2014,27,79,84,0
2023,34,81,0,0
2022,34,84,0,0
2019,34,81,220,0
2020,34,84,291,0
2024,34,84,0,0
2018,34,83,238,0
2019,34,81,220,0
2023,27,79,0,0
2014,5,39,37,1
2014,11,54,19,1
2014,11,54,19,1
2023,34,81,0,0
2017,4,66,81,0
2022,11,85,0,0
2022,34,82,0,0
2013,34,82,208,0
2023,18,47,0,0
2018,34,81,215,0
2020,34,84,291,0
2023,34,83,0,0
2014,6,134,38,1
2020,34,81,322,0
2016,11,22,19,1
2019,4,70,17,1
2018,34,83,238,0
2019,11,54,26,1
2013,27,79,75,0
2023,34,84,0,0
2018,34,82,249,0
2016,11,54,19,1
2019,34,81,220,0
2019,34,81,220,0
2022,38,114,22,1
2019,37,34,125,0
2023,38,140,35,1
2022,11,46,38,1
2011,6,134,35,1
2024,27,79,0,0
2021,34,84,0,0
2017,6,134,53,1
2023,7,92,32,1
2015,9,1,87,0
2024,23,32,26,1
2013,34,82,208,0
2023,15,73,0,0
2019,1,35,204,0
2023,17,58,25,1
2020,18,87,239,0
2023,34,84,0,0
2023,11,85,0,0
2020,34,84,291,0
2021,17,136,25,1
2022,4,138,30,1
2023,34,81,0,0
2013,27,79,75,0
2015,27,79,84,0
2023,17,136,21,1
2012,27,79,73,0
2014,34,82,208,0
2023,27,13,0,0
2015,27,79,84,0
2020,34,81,322,0
2018,34,81,215,0
2012,27,79,73,0
2019,34,81,220,0
2011,27,79,73,0
2023,12,59,0,0
2016,27,79,84,0
2023,18,125,34,1
2018,34,81,215,0
2020,18,87,26,1
2023,4,138,30,1
2019,34,81,220,0
2020,34,84,291,0
2022,34,83,0,0
2022,34,81,0,0
2023,34,81,0,0
2024,34,84,0,0
2017,6,134,53,1
2013,6,134,38,1
2023,11,49,0,0
2016,34,83,200,0
2014,34,82,208,0
2024,18,87,33,1
2022,34,81,0,0
2022,4,138,30,1
2023,34,84,0,0
2020,34,81,322,0
2023,11,49,0,0
2023,34,84,0,0
2019,1,35,204,0
2016,27,79,84,0
2023,37,71,0,0
2016,27,79,84,0
2019,18,87,26,1
2017,34,83,200,0
2018,34,81,215,0
2020,34,84,291,0
2016,37,34,83,0
2023,17,136,21,1
2020,34,83,293,0
2021,36,107,42,1
2018,4,138,13,1
2020,34,81,308,0
2021,4,138,30,1
2021,28,96,233,0
2023,1,97,0,0
2018,34,81,215,0
2016,34,82,210,0
2022,21,27,28,1
2021,36,95,25,1
2018,34,81,215,0
2023,11,46,37,1
2019,27,79,150,0
2013,11,51,76,0
